symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss,price_track_path
BTCUSDT,8h,120 days ago UTC,16,hgb,313,time,0.2,,direction,0.0,0.5483870967741935,0.5909090909090909,0.40625,0.48148148148148145,0.565625,"[[21, 9], [19, 13]]",0.72,9,0.5555555555555556,8.058576483376925e-05,0.0005551463799659659,0.0044045436818545,0.6022050068034148,0.05995425726803876,0.0023,,,,1.030296270774999,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_hgb_20251016_212334.csv
BTCUSDT,8h,120 days ago UTC,16,linsvc,313,time,0.2,,direction,0.0,0.4838709677419355,0.0,0.0,0.0,0.5354166666666667,"[[30, 0], [32, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,1.1115492273593217,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_linsvc_20251016_212339.csv
BTCUSDT,8h,120 days ago UTC,16,bilstm,298,time,0.2,,direction,0.0,0.4576271186440678,0.4722222222222222,0.5666666666666667,0.5151515151515151,0.46436781609195393,"[[10, 19], [13, 17]]",0.89,2,1.0,0.00015948467691850957,0.004704797969096033,0.00942719061947983,5.581665004977754,,0.0023,,,,0.8926752776187443,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_bilstm_20251016_212347.csv
BTCUSDT,8h,120 days ago UTC,16,gru_lstm,298,time,0.2,,direction,0.0,0.4915254237288136,0.5,0.2,0.2857142857142857,0.41034482758620694,"[[23, 6], [24, 6]]",0.67,0,,0.0,,0.0,,,0.0023,,,,0.7268847150378351,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_gru_lstm_20251016_212355.csv
BTCUSDT,8h,120 days ago UTC,16,hybrid_transformer,298,time,0.2,,direction,0.0,0.5254237288135594,0.5238095238095238,0.7333333333333333,0.6111111111111112,0.45747126436781604,"[[9, 20], [8, 22]]",0.855,0,,0.0,,0.0,,,0.0023,,,,0.7566475059316149,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_hybrid_transformer_20251016_212409.csv
BTCUSDT,8h,120 days ago UTC,16,voting_soft,313,time,0.2,,direction,0.0,0.5161290322580645,0.55,0.34375,0.4230769230769231,0.5572916666666667,"[[21, 9], [21, 11]]",0.705,1,1.0,0.00016872171398507556,0.010460746267074685,0.010460746267074716,4.202533797910571,,0.0023,,,,0.7267925630973686,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_voting_soft_20251016_212414.csv
BTCUSDT,8h,120 days ago UTC,16,stacking,313,time,0.2,,direction,0.0,0.5161290322580645,0.5161290322580645,1.0,0.6808510638297872,0.49687499999999996,"[[0, 30], [0, 32]]",0.64,0,,0.0,,0.0,,,0.0023,,,,0.7036245384170033,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_stacking_20251016_212426.csv
BTCUSDT,1d,120 days ago UTC,16,logreg,73,time,0.2,,direction,0.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.3125,"[[0, 6], [0, 8]]",0.51,0,,0.0,,0.0,,,0.0023,,,,0.6907980572680238,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_logreg_20251016_212443.csv
BTCUSDT,1d,120 days ago UTC,16,sgdlog,73,time,0.2,,direction,0.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.3125,"[[0, 6], [0, 8]]",0.81,1,1.0,5.777730670308622e-05,0.0008088822938432071,0.0008088822938432383,5.106018857331862,,0.0023,,,,0.8127058958480572,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_sgdlog_20251016_212448.csv
BTCUSDT,1d,120 days ago UTC,16,rf,73,time,0.2,,direction,0.0,0.5,0.5714285714285714,0.5,0.5333333333333333,0.5208333333333334,"[[3, 3], [4, 4]]",0.535,2,1.0,0.002678727131245756,0.018751089918720293,0.03753185715637897,5.226162305678906,,0.0023,,,,0.6788361869527854,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_rf_20251016_212453.csv
BTCUSDT,1d,120 days ago UTC,16,hgb,73,time,0.2,,direction,0.0,0.42857142857142855,0.0,0.0,0.0,0.59375,"[[6, 0], [8, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.8446867178464412,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_hgb_20251016_212458.csv
BTCUSDT,1d,120 days ago UTC,16,linsvc,73,time,0.2,,direction,0.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.3125,"[[0, 6], [0, 8]]",0.81,1,1.0,5.777730670308622e-05,0.0008088822938432071,0.0008088822938432383,5.106018857331862,,0.0023,,,,0.8127426479818635,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_linsvc_20251016_212503.csv
BTCUSDT,1d,120 days ago UTC,16,bilstm,58,time,0.2,,direction,0.0,0.5454545454545454,0.5,1.0,0.6666666666666666,0.6666666666666667,"[[1, 5], [0, 5]]",0.715,1,1.0,0.0006568630886922603,0.007225493975614863,0.007225493975614894,5.7603661499785055,,0.0023,,,,0.7060278440928434,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_bilstm_20251016_212510.csv
BTCUSDT,1d,120 days ago UTC,16,gru_lstm,58,time,0.2,,direction,0.0,0.45454545454545453,0.4,0.4,0.4,0.4666666666666667,"[[3, 3], [3, 2]]",0.68,0,,0.0,,0.0,,,0.0023,,,,0.7571256460535539,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_gru_lstm_20251016_212518.csv
BTCUSDT,1d,120 days ago UTC,16,hybrid_transformer,58,time,0.2,,direction,0.0,0.45454545454545453,0.4,0.4,0.4,0.5666666666666667,"[[3, 3], [3, 2]]",0.755,1,1.0,0.0006568630886922603,0.007225493975614863,0.007225493975614894,5.7603661499785055,,0.0023,,,,0.7743526629805534,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_hybrid_transformer_20251016_212525.csv
BTCUSDT,1d,120 days ago UTC,16,voting_soft,73,time,0.2,,direction,0.0,0.42857142857142855,0.0,0.0,0.0,0.6458333333333333,"[[6, 0], [8, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.709374529860274,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_voting_soft_20251016_212530.csv
BTCUSDT,1d,120 days ago UTC,16,stacking,73,time,0.2,,direction,0.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.4166666666666667,"[[0, 6], [0, 8]]",0.52,4,0.5,0.0010228600796317754,0.0035800102787112136,0.013499672183231004,1.646515291681827,0.32783370921049493,0.0023,,,,0.6890358414326281,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_stacking_20251016_212549.csv
BTCUSDT,1d,120 days ago UTC,16,metalabel,73,time,0.2,,direction,0.0,0.42857142857142855,0.0,0.0,0.0,0.59375,"[[6, 0], [8, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,1.1611011556107982,predictions/PRICE_120_days_ago_UTC_BTCUSDT_1d_metalabel_20251016_212554.csv
BTCUSDT,4h,365 days ago UTC,16,logreg,2061,time,0.2,,direction,0.0,0.4733009708737864,0.4733009708737864,1.0,0.642504118616145,0.513151364764268,"[[0, 217], [0, 195]]",0.52,0,,0.0,,0.0,,,0.0023,,,,0.6956230029708192,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_logreg_20251016_212606.csv
BTCUSDT,4h,365 days ago UTC,16,sgdlog,2061,time,0.2,,direction,0.0,0.5266990291262136,0.0,0.0,0.0,0.4936783646461066,"[[217, 0], [195, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.7196750745381945,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_sgdlog_20251016_212612.csv
BTCUSDT,4h,365 days ago UTC,16,rf,2061,time,0.2,,direction,0.0,0.4684466019417476,0.4594594594594595,0.6974358974358974,0.5539714867617108,0.49444641380125254,"[[57, 160], [59, 136]]",0.735,17,0.47058823529411764,6.206118980769146e-05,0.0015040711882805227,0.025177858034784784,1.5575443804983309,0.5105345889689571,0.0023,,,,0.7340088067171064,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_rf_20251016_212618.csv
BTCUSDT,4h,365 days ago UTC,16,hgb,2061,time,0.2,,direction,0.0,0.4878640776699029,0.4642857142857143,0.5333333333333333,0.4964200477326969,0.5007916814368427,"[[97, 120], [91, 104]]",0.9,14,0.35714285714285715,-0.00012637580494116257,-0.003719059402554212,-0.05110789496257473,-4.313884989259319,-0.6597636461530465,0.0023,,,,0.8532056654230131,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_hgb_20251016_212624.csv
BTCUSDT,4h,365 days ago UTC,16,linsvc,2061,time,0.2,,direction,0.0,0.5266990291262136,0.0,0.0,0.0,0.48677773839064153,"[[217, 0], [195, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.7196750180743497,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_linsvc_20251016_212629.csv
BTCUSDT,4h,365 days ago UTC,16,bilstm,2046,time,0.2,,direction,0.0,0.5158924205378973,0.4853801169590643,0.43005181347150256,0.45604395604395603,0.538140472078296,"[[128, 88], [110, 83]]",0.645,0,,0.0,,0.0,,,0.0023,,,,0.688129199895025,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_bilstm_20251016_212643.csv
BTCUSDT,4h,365 days ago UTC,16,gru_lstm,2046,time,0.2,,direction,0.0,0.48166259168704156,0.47129909365558914,0.8082901554404145,0.5954198473282443,0.49448282479370564,"[[41, 175], [37, 156]]",0.585,0,,0.0,,0.0,,,0.0023,,,,0.7023341040105973,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_gru_lstm_20251016_212700.csv
