symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct,price_track_path,mape_bps,task,sharpe_like_z,total_net_return_z,avg_net_ret_per_bar_z,trades_z,n_runs,median_sharpe,med_sharpe_z,score
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],0.0,21,,63.73536390130196,,1338.4426419273411,0.3954823587221597,0.7063086942321782,0.4997229774182932,0.0023,-0.1423762160379562,159.61530806288056,200.98827204125553,552.9715680059397,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_hgb_reg_20251016_204136.csv,,regress,0.0,0.0,0.0,0.0,1,0.3954823587221597,0.0,0.0
BTCUSDT,8h,720 days ago UTC,16,bilstm,2098,time,0.2,,return_bps,0.0,,,,,,[],1.0,8,,46.75700793577025,,374.056063486162,0.3316570502840729,0.1389153633237428,3.635466876304459,0.0023,-0.0039748728009336,71.17843764951728,99.8432684257794,145.8727580430184,predictions/PRICE_720_days_ago_UTC_BTCUSDT_8h_bilstm_20251016_204602.csv,,regress,0.0,0.0,0.0,0.0,1,0.3316570502840729,0.0,0.0
