symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct,price_track_path
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,2,,-17.944079984655616,,-35.88815996931123,-1.2560396866906964,0.038112457443314485,-1.2560396866906964,0.0023,-0.1734327508465816,71.34833896757482,93.47648540505205,398.1397749278448,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hgb_reg_20251018_144840.csv
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],56.0,12,,-1.213735928067872,,-14.564831136814462,-0.03511960847191977,0.17823303463782691,-0.12159373348039552,0.0023,-0.36479775825453986,79.55483557541507,100.81467066338016,409.43930141938375,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_rf_reg_20251018_144846.csv
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],9.0,1,,20.166666971996563,,20.166666971996563,20166666971.996563,,,0.0023,-0.8520780222561026,89.36723464269404,117.44085869156069,497.701226348942,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_linreg_20251018_144852.csv
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.00015141901150994563,60.56984172803987,86.29137424408341,103.10474964633994,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_svr_20251018_144857.csv
BTCUSDT,4h,120 days ago UTC,16,arima,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.00038523792061839757,60.51141630481351,86.31452907611714,99.63989322342621,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_arima_20251018_144902.csv
BTCUSDT,4h,120 days ago UTC,16,bilstm,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.03634493101826619,61.95578762776682,88.68424278917395,154.3516883988819,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_bilstm_20251018_144913.csv
BTCUSDT,4h,120 days ago UTC,16,gru_lstm,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.00029796177759600084,61.17818159702809,87.12825128335004,99.74817950265785,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_gru_lstm_20251018_144925.csv
BTCUSDT,4h,120 days ago UTC,16,hybrid_transformer,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0414479755035051,62.33401798488667,88.90309516876259,114.42759479461068,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hybrid_transformer_20251018_144933.csv
BTCUSDT,4h,120 days ago UTC,16,sarimax,673,time,0.2,,return_bps,0.0,,,,,,[],6.0,2,,5.20641615355335,,10.4128323071067,0.34801663530846616,0.3921222190245399,5206416153.55335,0.0023,-161.74615512235562,934.1594080728362,1100.929329242413,6649.023539826054,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_sarimax_20251018_144945.csv
BTCUSDT,4h,120 days ago UTC,16,var,673,time,0.2,,return_bps,0.0,,,,,,[],60.0,50,,-21.839679166691763,,-1091.9839583345881,-0.2982263546135343,0.007630588030450025,-0.39562595999435857,0.0023,-16.16065697191163,220.10808804797668,357.4889988847434,3360.026592483708,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_var_20251018_144950.csv
BTCUSDT,4h,120 days ago UTC,16,garch,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.00041281047515617786,60.5045644365331,86.31481593226609,99.59726983629378,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_garch_20251018_144955.csv
BTCUSDT,4h,120 days ago UTC,16,markov_switching,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0005476377113553532,60.48392601751347,86.32012297291351,99.65892749902933,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_markov_switching_20251018_145001.csv
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],44.0,1,,87.73922870294739,,87.73922870294739,87739228702.94739,,,0.0023,-0.26851897967405947,113.35956541908186,146.81397948378995,286.60148202174867,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_hgb_reg_20251018_145007.csv
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,1,,87.73922870294739,,87.73922870294739,87739228702.94739,,,0.0023,-0.29252630479116304,116.05948205952005,148.196724092006,257.1335925756755,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_rf_reg_20251018_145013.csv
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,3,,42.283614787937275,,126.85084436381183,1.315452946423838,0.9629498275427248,,0.0023,-0.2743629568446244,116.97911234194866,147.1517657801633,449.03351365072587,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_linreg_20251018_145019.csv
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.005549708079526372,95.82231381538745,130.71357659001234,109.872598627796,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_svr_20251018_145024.csv
BTCUSDT,8h,120 days ago UTC,16,arima,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0008360641481937048,95.82387250611409,130.40684833723117,101.24880291831985,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_arima_20251018_145029.csv
BTCUSDT,8h,120 days ago UTC,16,bilstm,298,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.0029645597728246154,99.39109402731252,133.21690772852008,102.65036177441877,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_bilstm_20251018_145038.csv
BTCUSDT,8h,120 days ago UTC,16,gru_lstm,298,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0007964579840598063,99.30232890221085,133.4591597753676,99.55726820790987,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_gru_lstm_20251018_145101.csv
